category,color,date,month,price,region,revenue,sales_units,season,social_engagement,style,year
Outerwear,Gray,2023-04-29,4,166,South America,62582,377,Spring,23028,Formal,2023
Pants,Blue,2024-11-10,11,444,South America,169608,382,Fall,47809,Punk,2024
Jewelry,Gray,2023-09-02,9,458,South America,167170,365,Fall,4406,Casual,2023
Dresses,Gray,2023-02-07,2,36,South America,17316,481,Winter,30060,Minimalist,2023
Bags,Purple,2023-01-02,1,217,Australia,213528,984,Winter,16069,Casual,2023
Dresses,Orange,2024-03-14,3,62,Asia,44082,711,Spring,44002,Athletic,2024
Skirts,Brown,2023-04-28,4,21,South America,7707,367,Spring,24834,Vintage,2023
Accessories,White,2023-05-05,5,499,South America,558880,1120,Spring,44024,Grunge,2023
Skirts,Navy,2023-03-15,3,406,Europe,305718,753,Spring,40951,Minimalist,2023
Pants,Green,2023-08-28,8,180,Asia,66780,371,Summer,41773,Vintage,2023
Bags,Blue,2024-01-07,1,85,North America,19380,228,Winter,21966,Bohemian,2024
Pants,Brown,2024-08-29,8,45,North America,41535,923,Summer,25599,Punk,2024
Accessories,Red,2024-06-02,6,194,South America,80122,413,Summer,14464,Grunge,2024
Pants,Yellow,2024-10-03,10,431,Asia,468066,1086,Fall,2905,Streetwear,2024
Jewelry,Brown,2024-12-16,12,349,Australia,85156,244,Winter,12816,Punk,2024
Skirts,Navy,2023-03-12,3,285,South America,65550,230,Spring,40073,Formal,2023
Tops,Navy,2024-05-18,5,451,Europe,323367,717,Spring,11917,Minimalist,2024
Pants,Purple,2023-09-04,9,227,Europe,166845,735,Fall,12206,Grunge,2023
Pants,Purple,2023-07-19,7,131,Europe,117114,894,Summer,47863,Athletic,2023
Jewelry,Purple,2023-03-18,3,113,Asia,44861,397,Spring,1525,Casual,2023
Outerwear,Orange,2023-04-24,4,139,Asia,40310,290,Spring,21070,Grunge,2023
Shoes,Black,2024-04-16,4,48,North America,11376,237,Spring,27918,Bohemian,2024
Shoes,White,2024-12-04,12,449,South America,143231,319,Winter,20552,Athletic,2024
Tops,Orange,2024-11-09,11,59,Europe,31329,531,Fall,15719,Minimalist,2024
Bags,Beige,2024-06-03,6,447,Australia,192210,430,Summer,9621,Punk,2024
Outerwear,Gray,2023-06-02,6,280,Europe,135520,484,Summer,40828,Streetwear,2023
Pants,Black,2024-03-25,3,104,Europe,19344,186,Spring,42742,Preppy,2024
Shoes,Purple,2024-10-30,10,336,Asia,201936,601,Fall,21669,Punk,2024
Skirts,Brown,2024-02-26,2,320,North America,282240,882,Winter,21652,Bohemian,2024
Bags,Orange,2024-03-23,3,28,South America,34356,1227,Spring,45277,Casual,2024
Pants,Black,2024-07-09,7,326,South America,286880,880,Summer,22902,Punk,2024
Pants,Orange,2023-07-24,7,194,South America,23668,122,Summer,18013,Formal,2023
Jewelry,Green,2024-08-10,8,277,South America,91964,332,Summer,38317,Punk,2024
Jewelry,Purple,2023-03-16,3,449,Europe,58819,131,Spring,29727,Bohemian,2023
Tops,Purple,2024-07-10,7,219,North America,58692,268,Summer,34915,Vintage,2024
Jewelry,Orange,2024-09-18,9,22,Europe,19184,872,Fall,15001,Punk,2024
Skirts,Navy,2023-02-19,2,223,Australia,231697,1039,Winter,1870,Grunge,2023
Dresses,Pink,2023-07-26,7,158,North America,163214,1033,Summer,16000,Grunge,2023
Dresses,Pink,2023-05-14,5,295,North America,252225,855,Spring,34624,Bohemian,2023
Jewelry,Navy,2024-08-30,8,468,South America,298584,638,Summer,16962,Grunge,2024
Shoes,Purple,2024-04-08,4,389,North America,123313,317,Spring,43734,Preppy,2024
Pants,Navy,2024-09-14,9,185,Europe,105265,569,Fall,44940,Casual,2024
Skirts,Beige,2023-03-10,3,226,Asia,53562,237,Spring,30435,Preppy,2023
Dresses,Brown,2023-11-21,11,38,North America,42332,1114,Fall,41172,Streetwear,2023
Tops,Pink,2023-11-13,11,493,South America,87754,178,Fall,9023,Grunge,2023
Dresses,Navy,2023-08-29,8,390,Australia,270660,694,Summer,22532,Punk,2023
Jewelry,Black,2024-01-09,1,328,South America,115128,351,Winter,29079,Minimalist,2024
Outerwear,Brown,2023-03-03,3,134,South America,124352,928,Spring,35014,Casual,2023
Tops,Purple,2024-12-20,12,403,Europe,348192,864,Winter,47538,Punk,2024
Outerwear,Gray,2024-01-07,1,295,South America,59590,202,Winter,39057,Grunge,2024
Tops,Orange,2024-02-01,2,156,Australia,140868,903,Winter,15662,Bohemian,2024
Outerwear,Red,2023-04-16,4,192,South America,129984,677,Spring,37159,Formal,2023
Shoes,Blue,2023-09-27,9,331,South America,90694,274,Fall,3899,Bohemian,2023
Bags,Beige,2023-09-04,9,407,South America,288563,709,Fall,47065,Athletic,2023
Outerwear,Yellow,2023-09-20,9,243,North America,163782,674,Fall,40908,Athletic,2023
Dresses,Orange,2024-05-15,5,161,Asia,58765,365,Spring,8759,Streetwear,2024
Accessories,Pink,2024-03-05,3,394,Europe,278164,706,Spring,13200,Vintage,2024
Outerwear,Beige,2024-01-28,1,299,Australia,414713,1387,Winter,16004,Athletic,2024
Tops,Pink,2023-02-13,2,364,South America,62244,171,Winter,26559,Grunge,2023
Shoes,Blue,2024-06-09,6,226,Australia,179218,793,Summer,42580,Vintage,2024
Bags,Brown,2023-08-24,8,469,Europe,392553,837,Summer,13338,Vintage,2023
Pants,Orange,2024-12-22,12,492,Australia,100368,204,Winter,14141,Bohemian,2024
Outerwear,Beige,2024-02-18,2,55,Europe,46860,852,Winter,35512,Streetwear,2024
Jewelry,Black,2023-04-02,4,354,Europe,514008,1452,Spring,11107,Minimalist,2023
Outerwear,Brown,2024-04-14,4,272,South America,65008,239,Spring,8234,Athletic,2024
Jewelry,Blue,2024-10-23,10,21,Asia,15036,716,Fall,43682,Preppy,2024
Skirts,Yellow,2023-10-29,10,138,Europe,94116,682,Fall,31373,Grunge,2023
Bags,Pink,2023-03-19,3,345,North America,369495,1071,Spring,34069,Streetwear,2023
Shoes,Pink,2024-05-19,5,347,Asia,331385,955,Spring,36887,Bohemian,2024
Dresses,Red,2023-01-28,1,139,North America,63245,455,Winter,2831,Vintage,2023
Bags,Orange,2023-06-11,6,208,Asia,78208,376,Summer,22330,Grunge,2023
Accessories,Blue,2024-09-21,9,417,Europe,176808,424,Fall,32514,Grunge,2024
Accessories,Beige,2023-09-05,9,94,South America,45496,484,Fall,20743,Punk,2023
Jewelry,Navy,2024-05-08,5,83,Asia,58598,706,Spring,45358,Streetwear,2024
Dresses,Yellow,2024-05-20,5,348,Australia,330600,950,Spring,6882,Vintage,2024
Accessories,Brown,2024-04-03,4,309,Australia,181692,588,Spring,13669,Minimalist,2024
Jewelry,Pink,2024-09-27,9,489,North America,297312,608,Fall,40253,Preppy,2024
Accessories,Pink,2023-04-20,4,71,South America,29607,417,Spring,40215,Grunge,2023
Bags,Green,2024-05-01,5,176,Australia,68992,392,Spring,25987,Vintage,2024
Pants,Navy,2024-08-21,8,337,South America,337000,1000,Summer,20883,Grunge,2024
Jewelry,Gray,2024-06-10,6,340,Asia,38420,113,Summer,41400,Grunge,2024
Pants,Beige,2024-10-21,10,461,South America,130924,284,Fall,29753,Minimalist,2024
Outerwear,Green,2023-02-04,2,134,South America,154100,1150,Winter,6515,Vintage,2023
Shoes,Yellow,2023-08-17,8,21,South America,18858,898,Summer,46827,Minimalist,2023
Outerwear,Yellow,2023-05-25,5,25,Europe,21325,853,Spring,24790,Grunge,2023
Pants,Brown,2024-10-03,10,441,Asia,331632,752,Fall,49369,Grunge,2024
Accessories,Navy,2024-07-21,7,273,South America,65520,240,Summer,14446,Vintage,2024
Dresses,Beige,2024-09-18,9,266,Asia,234080,880,Fall,48785,Formal,2024
Dresses,Orange,2023-08-28,8,386,North America,191842,497,Summer,13935,Minimalist,2023
Shoes,Navy,2024-12-01,12,160,South America,182720,1142,Winter,46222,Formal,2024
Dresses,Brown,2024-02-11,2,139,South America,134413,967,Winter,22494,Streetwear,2024
Shoes,White,2023-06-18,6,482,Australia,538394,1117,Summer,37592,Formal,2023
Outerwear,Yellow,2024-12-29,12,471,Europe,780447,1657,Winter,7243,Casual,2024
Outerwear,Yellow,2024-01-24,1,46,South America,37214,809,Winter,20544,Streetwear,2024
Pants,Yellow,2024-01-25,1,127,North America,64008,504,Winter,5262,Minimalist,2024
Shoes,Orange,2023-11-30,11,387,North America,77400,200,Fall,25059,Grunge,2023
Jewelry,Gray,2024-06-27,6,451,South America,328328,728,Summer,36732,Bohemian,2024
Bags,Green,2024-01-20,1,436,Asia,74556,171,Winter,8967,Casual,2024
Jewelry,Brown,2023-02-05,2,145,Australia,26970,186,Winter,40782,Formal,2023
Accessories,Brown,2023-07-11,7,273,Asia,185367,679,Summer,2567,Formal,2023
Shoes,Purple,2024-04-19,4,212,South America,157728,744,Spring,5490,Casual,2024
Jewelry,Brown,2023-07-14,7,117,Asia,145548,1244,Summer,3207,Casual,2023
Jewelry,Brown,2023-05-09,5,156,Australia,105300,675,Spring,9042,Vintage,2023
Skirts,Navy,2023-01-21,1,355,North America,401860,1132,Winter,49066,Punk,2023
Jewelry,Black,2023-09-29,9,73,Australia,109500,1500,Fall,9476,Streetwear,2023
Outerwear,White,2024-12-16,12,247,South America,154622,626,Winter,20986,Punk,2024
Shoes,Gray,2023-03-07,3,431,Australia,166797,387,Spring,38194,Streetwear,2023
Dresses,Yellow,2023-01-02,1,368,Australia,177008,481,Winter,23471,Athletic,2023
Accessories,Orange,2023-10-18,10,485,Australia,321070,662,Fall,38897,Athletic,2023
Bags,Gray,2023-02-19,2,489,Australia,456237,933,Winter,3821,Punk,2023
Dresses,Black,2023-02-03,2,72,South America,88272,1226,Winter,18716,Streetwear,2023
Jewelry,Black,2023-12-15,12,346,North America,282682,817,Winter,36169,Vintage,2023
Tops,Beige,2023-05-09,5,117,North America,74646,638,Spring,15049,Streetwear,2023
Dresses,Blue,2024-04-02,4,366,Europe,310734,849,Spring,7529,Punk,2024
Skirts,Green,2023-04-01,4,142,Europe,45724,322,Spring,40574,Grunge,2023
Dresses,White,2023-07-25,7,268,Asia,198052,739,Summer,36154,Vintage,2023
Tops,Pink,2024-07-15,7,435,South America,262305,603,Summer,43995,Athletic,2024
Bags,Brown,2023-07-27,7,257,Asia,59367,231,Summer,24686,Casual,2023
Dresses,Pink,2024-03-26,3,25,South America,20100,804,Spring,41985,Preppy,2024
Skirts,Purple,2024-05-13,5,418,Europe,241604,578,Spring,36318,Preppy,2024
Jewelry,Navy,2024-10-29,10,448,Europe,495936,1107,Fall,17567,Bohemian,2024
Dresses,Brown,2023-12-24,12,339,Australia,159669,471,Winter,23781,Grunge,2023
Jewelry,Navy,2024-09-19,9,421,Asia,635710,1510,Fall,11428,Casual,2024
Tops,Pink,2023-06-16,6,94,Asia,47188,502,Summer,11189,Formal,2023
Dresses,White,2023-01-29,1,282,North America,47376,168,Winter,12899,Casual,2023
Bags,Blue,2023-02-18,2,326,South America,148656,456,Winter,37864,Vintage,2023
Shoes,Navy,2024-01-25,1,184,Europe,151616,824,Winter,35501,Vintage,2024
Shoes,White,2023-01-18,1,182,Asia,101920,560,Winter,36406,Grunge,2023
Shoes,Purple,2024-03-20,3,192,Europe,25920,135,Spring,39258,Preppy,2024
Accessories,Beige,2024-11-08,11,480,South America,457920,954,Fall,7881,Punk,2024
Skirts,White,2023-03-19,3,64,South America,66752,1043,Spring,15959,Casual,2023
Bags,Beige,2024-05-26,5,127,Australia,50927,401,Spring,46737,Vintage,2024
Bags,Blue,2023-05-23,5,63,Asia,10395,165,Spring,11189,Casual,2023
Bags,Gray,2024-12-05,12,398,Europe,203776,512,Winter,9991,Preppy,2024
Outerwear,Beige,2023-07-28,7,44,North America,19932,453,Summer,31959,Preppy,2023
Accessories,Black,2023-01-16,1,187,Australia,263109,1407,Winter,29940,Streetwear,2023
Tops,Beige,2024-08-26,8,34,Europe,41310,1215,Summer,19979,Bohemian,2024
Skirts,Gray,2023-04-10,4,114,North America,47880,420,Spring,9393,Punk,2023
Shoes,Yellow,2024-07-30,7,208,Asia,100672,484,Summer,18601,Athletic,2024
Shoes,Gray,2024-06-02,6,414,Europe,255438,617,Summer,23020,Punk,2024
Pants,Black,2023-01-05,1,466,Asia,233000,500,Winter,18468,Vintage,2023
Accessories,Orange,2024-07-30,7,424,Asia,140768,332,Summer,42987,Streetwear,2024
Skirts,Brown,2024-05-02,5,232,Australia,63568,274,Spring,13647,Preppy,2024
Accessories,Green,2023-11-11,11,356,Europe,256320,720,Fall,25491,Punk,2023
Shoes,Gray,2024-03-08,3,216,Australia,150120,695,Spring,24245,Formal,2024
Pants,Green,2024-11-29,11,196,Europe,94864,484,Fall,6932,Athletic,2024
Skirts,Beige,2024-06-27,6,137,Australia,137000,1000,Summer,42447,Preppy,2024
Tops,Navy,2024-08-03,8,74,South America,57794,781,Summer,10308,Athletic,2024
Bags,Navy,2023-03-02,3,322,North America,258888,804,Spring,26725,Preppy,2023
Shoes,Blue,2023-04-04,4,317,North America,49135,155,Spring,47465,Bohemian,2023
Pants,White,2024-08-21,8,122,North America,35380,290,Summer,5788,Punk,2024
Pants,Purple,2023-11-01,11,294,Australia,157290,535,Fall,35797,Athletic,2023
Pants,Purple,2023-11-15,11,219,Asia,33945,155,Fall,35561,Punk,2023
Pants,Beige,2024-09-30,9,315,South America,167265,531,Fall,5536,Athletic,2024
Outerwear,Brown,2024-10-12,10,134,Australia,95140,710,Fall,14794,Bohemian,2024
Outerwear,Brown,2023-03-27,3,363,North America,296571,817,Spring,16322,Athletic,2023
Bags,Navy,2024-03-31,3,389,Australia,299530,770,Spring,15669,Bohemian,2024
Outerwear,Blue,2023-11-14,11,226,Asia,173116,766,Fall,23317,Athletic,2023
Pants,Brown,2023-10-23,10,381,South America,338709,889,Fall,5670,Casual,2023
Bags,Blue,2023-10-01,10,400,North America,279600,699,Fall,45334,Streetwear,2023
Bags,Pink,2024-05-20,5,37,South America,11877,321,Spring,41511,Casual,2024
Jewelry,Orange,2024-10-20,10,47,Australia,10904,232,Fall,34369,Minimalist,2024
Dresses,Blue,2023-11-27,11,153,Australia,92718,606,Fall,28034,Vintage,2023
Outerwear,Yellow,2023-06-17,6,391,South America,476238,1218,Summer,11369,Minimalist,2023
Pants,Red,2024-07-29,7,286,North America,199056,696,Summer,46687,Athletic,2024
Pants,Yellow,2024-07-22,7,421,South America,513620,1220,Summer,39921,Casual,2024
Tops,White,2023-02-22,2,212,Europe,198432,936,Winter,40620,Bohemian,2023
Shoes,Black,2024-09-26,9,254,South America,259334,1021,Fall,16774,Punk,2024
Shoes,Purple,2024-10-15,10,276,Europe,85008,308,Fall,21259,Vintage,2024
Shoes,Green,2024-08-18,8,111,Australia,52503,473,Summer,8251,Athletic,2024
Outerwear,Navy,2024-08-19,8,113,North America,125317,1109,Summer,24736,Streetwear,2024
Jewelry,Brown,2023-10-16,10,195,Europe,81510,418,Fall,46872,Grunge,2023
Shoes,Blue,2023-04-06,4,421,Australia,56835,135,Spring,20264,Athletic,2023
Bags,Purple,2023-09-02,9,316,Europe,289456,916,Fall,17179,Preppy,2023
Bags,White,2024-12-06,12,27,North America,21978,814,Winter,42614,Streetwear,2024
Jewelry,Blue,2024-01-21,1,283,Europe,163008,576,Winter,41925,Preppy,2024
Outerwear,Green,2023-10-31,10,143,Asia,105105,735,Fall,35221,Streetwear,2023
Bags,White,2024-09-14,9,239,North America,43498,182,Fall,48489,Bohemian,2024
Tops,Yellow,2023-12-29,12,263,Australia,53915,205,Winter,33183,Athletic,2023
Outerwear,Yellow,2024-01-02,1,67,North America,67536,1008,Winter,11245,Punk,2024
Dresses,Blue,2023-06-11,6,236,South America,238832,1012,Summer,15088,Bohemian,2023
Accessories,Navy,2023-04-03,4,177,Asia,162663,919,Spring,15596,Vintage,2023
Accessories,Gray,2023-09-14,9,94,South America,49726,529,Fall,13815,Minimalist,2023
Jewelry,Gray,2024-10-16,10,74,North America,24716,334,Fall,25944,Minimalist,2024
Tops,Yellow,2023-03-01,3,366,Asia,189588,518,Spring,10170,Athletic,2023
Accessories,Orange,2024-01-25,1,459,South America,334611,729,Winter,15145,Casual,2024
Jewelry,White,2023-06-06,6,370,North America,101380,274,Summer,1903,Bohemian,2023
Outerwear,Green,2024-07-11,7,281,North America,188270,670,Summer,43081,Bohemian,2024
Jewelry,Purple,2024-06-11,6,279,Asia,185814,666,Summer,19379,Bohemian,2024
Outerwear,Purple,2024-03-06,3,32,Australia,5920,185,Spring,14619,Grunge,2024
Jewelry,Blue,2024-03-17,3,353,South America,387594,1098,Spring,39276,Casual,2024
Skirts,Green,2024-06-12,6,307,South America,290115,945,Summer,7394,Grunge,2024
Skirts,Blue,2023-05-05,5,351,Asia,169533,483,Spring,42969,Punk,2023
Dresses,Blue,2024-03-23,3,138,North America,118680,860,Spring,27918,Athletic,2024
Shoes,Purple,2024-12-10,12,99,Europe,34947,353,Winter,31740,Formal,2024
Bags,Black,2023-08-21,8,227,Australia,125985,555,Summer,23106,Athletic,2023
Shoes,White,2024-05-28,5,235,Asia,294690,1254,Spring,5387,Minimalist,2024
Pants,Navy,2024-01-18,1,387,South America,186534,482,Winter,45662,Grunge,2024
Tops,Gray,2023-12-17,12,448,Asia,95424,213,Winter,32813,Streetwear,2023
Outerwear,Gray,2024-09-12,9,20,Europe,16040,802,Fall,15835,Formal,2024
Tops,Red,2024-10-06,10,241,North America,161470,670,Fall,3963,Vintage,2024
Skirts,Purple,2023-10-02,10,357,Australia,193851,543,Fall,38028,Minimalist,2023
Accessories,Red,2024-11-11,11,411,Asia,72336,176,Fall,49075,Minimalist,2024
Jewelry,Beige,2024-09-28,9,143,Asia,88374,618,Fall,32313,Vintage,2024
Outerwear,Purple,2023-01-27,1,299,Asia,248768,832,Winter,28634,Athletic,2023
Jewelry,Brown,2024-09-30,9,386,North America,152084,394,Fall,15800,Grunge,2024
Jewelry,White,2023-06-22,6,428,North America,402320,940,Summer,38463,Casual,2023
Accessories,Brown,2024-05-12,5,129,North America,141771,1099,Spring,31977,Minimalist,2024
Shoes,Orange,2023-07-28,7,185,Asia,122840,664,Summer,31611,Formal,2023
Accessories,Green,2023-11-29,11,115,North America,28060,244,Fall,6207,Formal,2023
Accessories,Green,2023-11-28,11,183,Australia,49227,269,Fall,44628,Streetwear,2023
Dresses,Red,2024-12-12,12,340,Australia,83300,245,Winter,43617,Streetwear,2024
Accessories,Gray,2024-11-08,11,97,North America,23183,239,Fall,10088,Vintage,2024
Tops,Red,2024-05-22,5,357,South America,292383,819,Spring,21655,Formal,2024
Bags,Red,2023-05-16,5,366,Asia,178242,487,Spring,37757,Preppy,2023
Pants,Blue,2023-11-15,11,128,North America,134016,1047,Fall,23444,Minimalist,2023
Bags,Red,2023-09-08,9,285,Asia,337725,1185,Fall,28132,Streetwear,2023
Bags,Beige,2024-08-29,8,35,Australia,33915,969,Summer,34532,Minimalist,2024
Shoes,Beige,2023-07-14,7,96,South America,43584,454,Summer,1243,Preppy,2023
Skirts,White,2024-06-07,6,195,Europe,196950,1010,Summer,16506,Grunge,2024
Outerwear,Purple,2024-07-13,7,226,Europe,135826,601,Summer,31835,Casual,2024
Pants,Blue,2024-08-08,8,81,Australia,27378,338,Summer,9983,Punk,2024
Tops,Orange,2024-07-01,7,303,Europe,352086,1162,Summer,8103,Casual,2024
Dresses,White,2024-05-18,5,365,Asia,324120,888,Spring,4320,Grunge,2024
Shoes,Gray,2023-04-19,4,87,South America,18096,208,Spring,42058,Casual,2023
Dresses,Black,2023-09-19,9,184,Australia,45264,246,Fall,30984,Grunge,2023
Dresses,Black,2023-12-14,12,52,Australia,26364,507,Winter,18687,Casual,2023
